Score,Name,',Tank,Attachments,Game Mode,Build
5.026 mil,S3CR3T,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,Kepernyofelvetel_81.png (https://dl.airtable.com/KHegWqwVRDiLP2B0AGD2_Kepernyofelvetel_81.png),Maze,
4.700 mil,Jimmy,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,unknown.png (https://dl.airtable.com/cSFo50pYT1mULxT1ADVa_unknown.png),FFA,
4.667 mil,<?W> Whoops,AssassinOR.png (https://dl.airtable.com/8pBCHF8Rfu083AYIEAcY_AssassinOR.png),Assassin,unknown.png (https://dl.airtable.com/hxKHXVWDRVelFs2cOucZ_unknown.png),2TDM,
4.374 mil,S3CR3T,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Kepernyofelvetel_666.png (https://dl.airtable.com/VfnSqUlkSJqXEVGon3k7_Kepernyofelvetel_666.png),FFA,
4.369 mil,Limit Breaker,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,4.37m_Anni.png (https://dl.airtable.com/5wlmUZuqREipRdUH2JGk_4.37m_Anni.png),FFA,
4.348 mil,Quadruplex,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Screenshot_146.png (https://dl.airtable.com/0O8MDFF9RmiokZdKnfZ6_Screenshot_146.png),FFA,
4.028 mil,Stradpult,Skimmer-Blue.png (https://dl.airtable.com/0sR0lRoZT7SQiIhTXuMt_Skimmer-Blue.png),Skimmer,unknown.png (https://dl.airtable.com/4nO9AqIWTm8ycvVya2Tl_unknown.png),Open 3/4 TDM,
3.876 mil,Zane,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,unknown.png (https://dl.airtable.com/zuwY2zX7T4mObJp8okWs_unknown.png),FFA,
3.822 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Annihilator_3.82m.png (https://dl.airtable.com/s8qPXtpHRDiwJec3pbni_Annihilator_3.82m.png),FFA,
3.686 mil,Denied,Kow7uit.png (https://dl.airtable.com/4ouDnDXgR4eYwsvjB28o_Kow7uit.png),Double Twin,arras.io_-_Google_Chrome_13_11_2018_18_51_48.png (https://dl.airtable.com/oScJKhlR2q1rsSrpKFoR_arras.io_-_Google_Chrome_13_11_2018_18_51_48.png),Open 3/4 TDM,
3.642 mil,Limit Breaker,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,20180701_183004.jpg (https://dl.airtable.com/nJJGz2fTnCecaAbrRFRf_20180701_183004.jpg),4TDM,
3.608 mil,S3CR3T,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Kepernyofelvetel_154.png (https://dl.airtable.com/AM58QRywRUyY8xkinv54_Kepernyofelvetel_154.png),FFA,
3.455 mil,Stradpult,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,unknown.png (https://dl.airtable.com/FLSwOmEgTFq7TOPbgDIw_unknown.png),FFA,
3.455 mil,ZeZo,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Screenshot_4.png (https://dl.airtable.com/ZqMkRnPdRDKUqiCnj1HI_Screenshot_4.png),FFA,
3.449 mil,DukeOnkled,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,Screenshot_174.png (https://dl.airtable.com/FBrvo1PmSXawB3HpckKO_Screenshot_174.png),4TDM,
3.448 mil,Phoenix,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,unknown.png (https://dl.airtable.com/BCbG2UcTRymmmEle3aWK_unknown.png),4 Team Domination,
3.233 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Annihilator_3.23m.png (https://dl.airtable.com/CUad8IrJQpqtkFrgUqKg_Annihilator_3.23m.png),FFA,
3.193 mil,Oganesson 118,HkARfHkfQZmAR4cGYOpO_full_Hybrid-Blue.jpg (https://dl.airtable.com/25FqyI6TPPSfJhiXfDNQ_HkARfHkfQZmAR4cGYOpO_full_Hybrid-Blue.jpg),Hybrid,unknown.png (https://dl.airtable.com/hQbDItZQ66HVPzYe5gig_unknown.png),FFA,
3.174 mil,Limit Breaker,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,First_3_Mill.png (https://dl.airtable.com/qzT95zjUStOIkRMRj2ky_First_3_Mill.png),4TDM,
3.109 mil,Jimmy,FighterOR.png (https://dl.airtable.com/HtCCi4oESf66EJtwvv0Q_FighterOR.png),Fighter,unknown.png (https://dl.airtable.com/0XgfG1yTTuzJYjgzOyAj_unknown.png),FFA,
3.095 mil,Mr. Farmz,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,20180509_131533.jpg (https://dl.airtable.com/OZtuYfHwSImZIoIocfED_20180509_131533.jpg),FFA,
3.094 mil,Oganesson 118,Skimmer-Blue.png (https://dl.airtable.com/0sR0lRoZT7SQiIhTXuMt_Skimmer-Blue.png),Skimmer,unknown.png (https://dl.airtable.com/9jBVp2mkTmOIUXVz36H0_unknown.png),Open 3/4 TDM,
3.043 mil,DukeOnkled,NecromancerOR.png (https://dl.airtable.com/NJDELyESzyo2zE638IDL_NecromancerOR.png),Necromancer,Screenshot_35.png (https://dl.airtable.com/Cl1vWLVWSYKEfp9GOneQ_Screenshot_35.png),4TDM,
3.018 mil,Quadruplex,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Screenshot_114.png (https://dl.airtable.com/rezcfYI9Rm22AyvNZMSC_Screenshot_114.png),FFA,
3.012 mil,S3CR3T,MortarOR.png (https://dl.airtable.com/tVRjptjlTuOLRanU2f8Z_MortarOR.png),Mortar,Kepernyofelvetel_6.png (https://dl.airtable.com/VSFonAFLSymiY1C3tCbD_Kepernyofelvetel_6.png),FFA,
3.007 mil,ZeZo,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,2018-09-16 20.10.22.jpg (https://dl.airtable.com/0IHSXCsdTECjWKy6hfdq_2018-09-16%2020.10.22.jpg),FFA,
3.006 mil,Absolitly_not,1gHxtRn.png (https://dl.airtable.com/XIXDDMNLTKiUAFxbqmcY_1gHxtRn.png),Musket,unknown.png (https://dl.airtable.com/Zz4ABn0iT42jWOvmfBV7_unknown.png),Open 3/4 TDM,
2.989 mil,X,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/bUHEixiRx6R6p8O7Cybw_unknown.png),FFA,
2.988 mil,Road,TwinOR.png (https://dl.airtable.com/zFt99d9wQEGIYmO1YsBD_TwinOR.png),Twin,mddhiAd.png (https://dl.airtable.com/Ku4t9y1ASaeYWwLj4GpV_mddhiAd.png),FFA,
2.974 mil,S3CR3T,TripletOR.png (https://dl.airtable.com/IvEUcLYFQA2UppXGMzmw_TripletOR.png),Triplet,Kepernyofelvetel_114.png (https://dl.airtable.com/4UHZN3iyTcCrJm9MAG8g_Kepernyofelvetel_114.png),FFA,
2.954 mil,Zane,SurferOR.png (https://dl.airtable.com/ZAnaKaC1TfCvDzSqH4dY_SurferOR.png),Surfer,unknown.png (https://dl.airtable.com/472BeIn9Rhu3bfwaEQeO_unknown.png),4TDM,
2.907 mil,AMagicalWizardPie,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,unknown.png (https://dl.airtable.com/boDWyQDT8yYERNlsbzJP_unknown.png),FFA,
2.904 mil,S3CR3T,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Kepernyofelvetel_173.png (https://dl.airtable.com/we5YvR4UQDmOeqLy0QlW_Kepernyofelvetel_173.png),FFA,
2.896 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Annihilator_2.9m.png (https://dl.airtable.com/GLU0PXWYSyCqZqvVjnVB_Annihilator_2.9m.png),FFA,
